Job title,Location,Company Industry,Experience Level,Salary Amount,Salary Currency,Conversion Ratio,Reference Year
Data Scientist,US,2022,Mid,108000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,200000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,150000.0,USD,1.0,2022
Data Manager,CA,2022,Executive,164000.0,CAD,0.73006557,2022
Data Engineer,US,2022,Senior,188700.0,USD,1.0,2022
Data Engineer,US,2022,Senior,160395.0,USD,1.0,2022
Data Analyst,US,2022,Senior,115934.0,USD,1.0,2022
Data Analyst,US,2022,Senior,81666.0,USD,1.0,2022
Data Engineer,US,2022,Senior,300000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,225000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,198440.0,USD,1.0,2022
Data Scientist,US,2022,Senior,144000.0,USD,1.0,2022
Applied Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Applied Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Analyst,ES,2022,Senior,48000.0,EUR,1.0882787,2022
Data Analyst,ES,2022,Senior,35000.0,EUR,1.0882787,2022
Data Scientist,DE,2022,Mid,72000.0,EUR,1.0882787,2022
Data Scientist,US,2022,Senior,156868.0,USD,1.0,2022
BI Analyst,NG,2022,Senior,200000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,198440.0,USD,1.0,2022
Data Scientist,US,2022,Senior,144000.0,USD,1.0,2022
ML Engineer,PT,2022,Senior,66000.0,EUR,1.0882787,2022
Data Analyst,US,2022,Senior,90000.0,USD,1.0,2022
Research Engineer,DE,2022,Mid,120000.0,EUR,1.0882787,2022
Research Engineer,DE,2022,Mid,80000.0,EUR,1.0882787,2022
Data Engineer,US,2022,Senior,200000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,180000.0,USD,1.0,2022
Analytics Engineer,US,2022,Mid,108000.0,USD,1.0,2022
Analytics Engineer,US,2022,Mid,85000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,210000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,180000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,165000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,132000.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,130000.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,110000.0,USD,1.0,2022
Data Analyst,AU,2022,Mid,65000.0,AUD,0.67236147,2022
Data Analyst,AU,2021,Junior,56000.0,AUD,0.67236147,2021
Data Analyst,US,2022,Mid,135000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,178800.0,USD,1.0,2022
Data Engineer,US,2022,Senior,132100.0,USD,1.0,2022
Data Analyst,US,2022,Junior,20000.0,USD,1.0,2022
ML Engineer,CA,2022,Senior,140000.0,USD,1.0,2022
ML Engineer,CA,2022,Senior,110000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,160000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,85000.0,USD,1.0,2022
ETL Developer,US,2022,Senior,250000.0,USD,1.0,2022
ETL Developer,US,2022,Senior,63000.0,USD,1.0,2022
Data Engineer,US,2022,Executive,187200.0,USD,1.0,2022
Data Engineer,US,2022,Executive,116100.0,USD,1.0,2022
Data Engineer,US,2022,Senior,200000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,145000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,229998.0,USD,1.0,2022
Data Engineer,US,2022,Senior,154545.0,USD,1.0,2022
Data Scientist,US,2022,Senior,215000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,159000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,229998.0,USD,1.0,2022
Data Engineer,US,2022,Senior,154545.0,USD,1.0,2022
AI Engineer,US,2022,Junior,50000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,183000.0,USD,1.0,2022
Data Analyst,US,2022,Senior,99750.0,USD,1.0,2022
Data Analyst,US,2022,Senior,68400.0,USD,1.0,2022
Data Scientist,US,2022,Senior,236900.0,USD,1.0,2022
Data Scientist,US,2022,Senior,159200.0,USD,1.0,2022
Data Manager,US,2022,Senior,243225.0,USD,1.0,2022
Data Manager,US,2022,Senior,179775.0,USD,1.0,2022
Data Engineer,US,2022,Senior,175000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,150000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,210000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,180000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,148000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,128000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,190000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,135000.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,130000.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,110000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Engineer,US,2022,Senior,160000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,85000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,218000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,145300.0,USD,1.0,2022
ML Engineer,US,2022,Senior,195400.0,USD,1.0,2022
ML Engineer,US,2022,Senior,131300.0,USD,1.0,2022
Data Engineer,US,2022,Junior,105000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Scientist,US,2022,Senior,207000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,153000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Analyst,US,2022,Senior,110000.0,USD,1.0,2022
Data Analyst,US,2022,Senior,99000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
ML Engineer,PR,2022,Senior,200000.0,USD,1.0,2022
ML Engineer,PR,2022,Senior,135000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,207000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,153000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Engineer,US,2022,Senior,195700.0,USD,1.0,2022
Data Engineer,US,2022,Senior,130500.0,USD,1.0,2022
ML Engineer,US,2022,Senior,130000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,84000.0,USD,1.0,2022
Data Engineer,US,2022,Mid,100000.0,USD,1.0,2022
Data Engineer,US,2022,Mid,60000.0,USD,1.0,2022
Data Engineer,GB,2022,Mid,65000.0,GBP,1.2951632,2022
Data Engineer,GB,2022,Mid,55000.0,GBP,1.2951632,2022
Data Engineer,US,2022,Senior,141300.0,USD,1.0,2022
Data Engineer,US,2022,Senior,102100.0,USD,1.0,2022
Data Analyst,ES,2022,Senior,48000.0,EUR,1.0882787,2022
Data Analyst,ES,2022,Senior,35000.0,EUR,1.0882787,2022
Data Analyst,US,2022,Mid,150000.0,USD,1.0,2022
Data Scientist,GB,2022,Mid,83000.0,GBP,1.2951632,2022
Data Scientist,IN,2022,Junior,1800000.0,INR,0.011962834,2022
Data Analyst,US,2022,Senior,144000.0,USD,1.0,2022
Data Analyst,US,2022,Senior,113000.0,USD,1.0,2022
AI Engineer,ES,2022,Junior,30000.0,EUR,1.0882787,2022
Data Engineer,US,2022,Senior,195400.0,USD,1.0,2022
Data Engineer,US,2022,Senior,131300.0,USD,1.0,2022
ML Engineer,US,2022,Senior,195400.0,USD,1.0,2022
ML Engineer,US,2022,Senior,131300.0,USD,1.0,2022
Data Engineer,US,2022,Senior,195400.0,USD,1.0,2022
Data Engineer,US,2022,Senior,131300.0,USD,1.0,2022
Data Engineer,US,2022,Senior,190000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,135000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,135000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,80000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,160000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,85000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,178800.0,USD,1.0,2022
Data Engineer,US,2022,Senior,132100.0,USD,1.0,2022
NLP Engineer,US,2022,Mid,60000.0,USD,1.0,2022
ML Engineer,FI,2022,Senior,60000.0,EUR,1.0882787,2022
Data Analyst,AS,2022,Junior,50000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,140000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,105000.0,USD,1.0,2022
Data Engineer,GB,2022,Mid,65000.0,GBP,1.2951632,2022
Data Engineer,GB,2022,Mid,55000.0,GBP,1.2951632,2022
Analytics Engineer,US,2022,Senior,190000.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,140000.0,USD,1.0,2022
Data Engineer,US,2022,Mid,100000.0,USD,1.0,2022
Data Engineer,US,2022,Mid,60000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,180000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,165000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,108000.0,USD,1.0,2022
ML Engineer,FR,2021,Junior,20000.0,USD,1.0,2021
Data Engineer,US,2022,Senior,190000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,135000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,179400.0,USD,1.0,2022
Data Scientist,US,2022,Senior,154000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,193900.0,USD,1.0,2022
ML Engineer,US,2022,Senior,129300.0,USD,1.0,2022
Data Manager,US,2022,Executive,222640.0,USD,1.0,2022
Data Manager,US,2022,Executive,182160.0,USD,1.0,2022
Data Engineer,US,2022,Mid,150000.0,USD,1.0,2022
Data Engineer,US,2022,Mid,100000.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,122500.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,100000.0,USD,1.0,2022
Data Engineer,US,2022,Executive,297500.0,USD,1.0,2022
Data Engineer,US,2022,Executive,260000.0,USD,1.0,2022
ML Engineer,TH,2021,Junior,15000.0,USD,1.0,2021
Data Engineer,US,2022,Senior,193000.0,USD,1.0,2022
Data Scientist,US,2022,Junior,93000.0,USD,1.0,2022
Data Scientist,US,2022,Junior,73000.0,USD,1.0,2022
Data Engineer,US,2022,Mid,100000.0,USD,1.0,2022
Data Engineer,US,2022,Mid,60000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,136994.0,USD,1.0,2022
Data Scientist,US,2022,Senior,101570.0,USD,1.0,2022
ETL Developer,US,2022,Senior,250000.0,USD,1.0,2022
ETL Developer,US,2022,Senior,63000.0,USD,1.0,2022
Data Manager,US,2022,Mid,134000.0,USD,1.0,2022
Data Manager,US,2022,Mid,98000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Engineer,FR,2022,Senior,55000.0,EUR,1.0882787,2022
Data Analyst,US,2022,Mid,136000.0,USD,1.0,2022
Data Analyst,US,2022,Mid,112000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,172000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,140000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,215000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,164000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,300000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,130000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,250000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,63000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,180000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,150000.0,USD,1.0,2022
Data Engineer,GB,2021,Junior,33000.0,GBP,1.2951632,2021
Data Engineer,US,2022,Senior,250000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,63000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Analyst,US,2022,Mid,97500.0,USD,1.0,2022
Applied Scientist,US,2022,Senior,212800.0,USD,1.0,2022
Applied Scientist,US,2022,Senior,142800.0,USD,1.0,2022
Data Scientist,NL,2022,Mid,70000.0,EUR,1.0882787,2022
Data Scientist,DE,2022,Junior,50000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,151800.0,USD,1.0,2022
Data Scientist,US,2022,Senior,130240.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,165000.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,140250.0,USD,1.0,2022
Data Engineer,US,2022,Senior,135000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,115000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,179400.0,USD,1.0,2022
Data Scientist,US,2022,Senior,154000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Analyst,US,2022,Mid,75000.0,USD,1.0,2022
Data Engineer,GR,2022,Mid,80000.0,EUR,1.0882787,2022
Data Engineer,GR,2022,Mid,70000.0,EUR,1.0882787,2022
Data Engineer,GB,2022,Mid,80000.0,GBP,1.2951632,2022
Data Engineer,GB,2022,Mid,70000.0,GBP,1.2951632,2022
Data Engineer,ES,2022,Mid,80000.0,EUR,1.0882787,2022
Data Engineer,ES,2022,Mid,70000.0,EUR,1.0882787,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Analytics Engineer,GB,2022,Senior,83376.0,GBP,1.2951632,2022
Analytics Engineer,GB,2022,Senior,65004.0,GBP,1.2951632,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Engineer,GB,2022,Senior,84958.0,GBP,1.2951632,2022
Data Engineer,GB,2022,Senior,66822.0,GBP,1.2951632,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Analyst,US,2022,Senior,115000.0,USD,1.0,2022
Data Scientist,ES,2022,Junior,30000.0,EUR,1.0882787,2022
Data Analyst,US,2022,Senior,81000.0,USD,1.0,2022
Data Analyst,US,2022,Senior,66000.0,USD,1.0,2022
Data Analyst,US,2022,Junior,46000.0,USD,1.0,2022
Data Engineer,US,2022,Junior,80000.0,USD,1.0,2022
ML Engineer,US,2022,Executive,200000.0,USD,1.0,2022
ML Engineer,US,2022,Executive,180000.0,USD,1.0,2022
AI Engineer,US,2022,Executive,200000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,204100.0,USD,1.0,2022
Data Scientist,US,2022,Senior,136100.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,250000.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,63000.0,USD,1.0,2022
Data Scientist,GB,2022,Mid,96000.0,GBP,1.2951632,2022
Data Scientist,GB,2022,Mid,90000.0,GBP,1.2951632,2022
Computer Vision Software Engineer,DK,2021,Junior,120000.0,DKK,0.14585547,2021
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Scientist,US,2022,Senior,191475.0,USD,1.0,2022
Data Scientist,US,2022,Senior,141525.0,USD,1.0,2022
Data Engineer,US,2022,Senior,95000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,70000.0,USD,1.0,2022
ML Engineer,US,2022,Mid,75000.0,USD,1.0,2022
Data Analyst,US,2022,Mid,113000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,170000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,130000.0,USD,1.0,2022
Data Analyst,US,2022,Mid,113000.0,USD,1.0,2022
Data Analyst,US,2022,Mid,140000.0,USD,1.0,2022
Data Analyst,PH,2021,Senior,50000.0,USD,1.0,2021
Data Analyst,AU,2022,Mid,77000.0,AUD,0.67236147,2022
Data Scientist,US,2022,Senior,175000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,140000.0,USD,1.0,2022
Data Scientist,PT,2022,Senior,28500.0,EUR,1.0882787,2022
Analytics Engineer,US,2022,Senior,250000.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,63000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,160000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,119300.0,USD,1.0,2022
Research Engineer,US,2022,Mid,145000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,105000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,90000.0,USD,1.0,2022
ETL Developer,US,2022,Senior,146200.0,USD,1.0,2022
ETL Developer,US,2022,Senior,124270.0,USD,1.0,2022
Data Scientist,US,2022,Mid,225000.0,USD,1.0,2022
Data Scientist,US,2022,Mid,160000.0,USD,1.0,2022
Data Scientist,NL,2022,Mid,52000.0,EUR,1.0882787,2022
Data Engineer,CA,2022,Senior,185800.0,USD,1.0,2022
Data Engineer,CA,2022,Senior,137400.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,245000.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,180000.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,203500.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,152000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,250000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,63000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,186000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,148800.0,USD,1.0,2022
ML Engineer,IN,2022,Senior,7500000.0,INR,0.011962834,2022
ML Engineer,GB,2022,Mid,104000.0,GBP,1.2951632,2022
Data Scientist,US,2022,Junior,82000.0,USD,1.0,2022
Data Scientist,FR,2022,Junior,110000.0,USD,1.0,2022
ML Engineer,US,2022,Mid,173000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,203500.0,USD,1.0,2022
Data Scientist,US,2022,Senior,152000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,186000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,148800.0,USD,1.0,2022
Data Manager,US,2022,Mid,158000.0,USD,1.0,2022
Data Manager,US,2022,Mid,134000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,170000.0,USD,1.0,2022
Data Scientist,US,2022,Senior,120000.0,USD,1.0,2022
Analytics Engineer,US,2022,Executive,200000.0,USD,1.0,2022
Analytics Engineer,US,2022,Executive,150000.0,USD,1.0,2022
Data Analyst,US,2022,Senior,216200.0,USD,1.0,2022
Data Analyst,US,2022,Senior,144100.0,USD,1.0,2022
Data Scientist,NL,2022,Mid,110000.0,EUR,1.0882787,2022
Data Scientist,NL,2022,Mid,85000.0,EUR,1.0882787,2022
ETL Developer,US,2022,Senior,250000.0,USD,1.0,2022
ETL Developer,US,2022,Senior,63000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,135000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,85000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,135000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,85000.0,USD,1.0,2022
Data Manager,US,2022,Senior,206000.0,USD,1.0,2022
Data Manager,US,2022,Senior,175100.0,USD,1.0,2022
ML Engineer,US,2022,Senior,189650.0,USD,1.0,2022
ML Engineer,US,2022,Senior,164996.0,USD,1.0,2022
Data Engineer,US,2022,Senior,149040.0,USD,1.0,2022
Data Engineer,US,2022,Senior,113900.0,USD,1.0,2022
Data Engineer,US,2022,Senior,154000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,126000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,200000.0,USD,1.0,2022
ML Engineer,US,2022,Senior,150000.0,USD,1.0,2022
Data Engineer,US,2022,Senior,195700.0,USD,1.0,2022
Data Engineer,US,2022,Senior,130500.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,170000.0,USD,1.0,2022
Analytics Engineer,US,2022,Senior,135000.0,USD,1.0,2022
Data Engineer,GB,2022,Mid,80000.0,GBP,1.2951632,2022
Data Engineer,GB,2022,Mid,60000.0,GBP,1.2951632,2022
